AEROLINEA_COMPLETA,ORIGEN_COMPLETO,DESTINO_COMPLETO
AA - American Airlines Inc.,EGE - Eagle County Regional Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,EGE - Eagle County Regional Airport,JFK - John F. Kennedy International Airport (New York International Airport)
AA - American Airlines Inc.,EGE - Eagle County Regional Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,EGE - Eagle County Regional Airport,MIA - Miami International Airport
AA - American Airlines Inc.,EGE - Eagle County Regional Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,ELP - El Paso International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,EWR - Newark Liberty International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,EWR - Newark Liberty International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,EWR - Newark Liberty International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,EWR - Newark Liberty International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,EWR - Newark Liberty International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,FAT - Fresno Yosemite International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,FAT - Fresno Yosemite International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,FLL - Fort Lauderdale-Hollywood International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,FLL - Fort Lauderdale-Hollywood International Airport,DCA - Ronald Reagan Washington National Airport
AA - American Airlines Inc.,FLL - Fort Lauderdale-Hollywood International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,FLL - Fort Lauderdale-Hollywood International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,FLL - Fort Lauderdale-Hollywood International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,FLL - Fort Lauderdale-Hollywood International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,GEG - Spokane International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,GSO - Piedmont Triad International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,GUC - Gunnison-Crested Butte Regional Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,HDN - Yampa Valley Airport (Yampa Valley Regional),DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,HNL - Honolulu International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,HNL - Honolulu International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,HNL - Honolulu International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,HOU - William P. Hobby Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,IAD - Washington Dulles International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,IAD - Washington Dulles International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,IAD - Washington Dulles International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,IAD - Washington Dulles International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,IAH - George Bush Intercontinental Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,IAH - George Bush Intercontinental Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,IAH - George Bush Intercontinental Airport,MIA - Miami International Airport
AA - American Airlines Inc.,IAH - George Bush Intercontinental Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,IAH - George Bush Intercontinental Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,IAH - George Bush Intercontinental Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,ICT - Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,ILM - Wilmington International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,IND - Indianapolis International Airport,CLT - Charlotte Douglas International Airport
